AB,"Alberta, Cananda"
AK,"Alasaka, USA"
AL,"Alabama, USA"
AR,"Arkansas, USA"
AZ,"Arizona, USA"
BC,"British Columbia, Canada"
CA,"California, USA"
CO,"Colorado, USA"
CT,"Connecticut, USA"
DOW,"Belfast, Northern Ireland"
DUR,"Durham, United Kingdom"
FL,"Florida, USA"
GA,"Georgia, USA"
HI,"Hawaii, USA"
HPL,"Hartlepool, United Kingdom"
IL,"Illinois, USA"
MB,"Manitoba, Canada"
MI,"Michigan, USA"
MO,"Missouri, USA"
NC,"North Carolina, USA"
NE,"Nebraska, USA"
NV,"Nevada, USA"
NY,"New York, USA"
OH,"Ohio, USA"
ON,"Ontario, Canada"
OR,"Oregon, USA"
PA,"Pennsylvania, USA"
QC,"Quebec, Canada"
SC,"South Carolina, USA"
TX,"Texas, USA"
UT,"Utah, USA"
VA,"Virginia, USA"
VT,"Vermont, USA"
WA,"Washington, USA"
WI,"Wisconsin, USA"
XWY,"Leeds, United Kingdom"
YT,"Yukon Territory, Canada"
